lifecycle_stage,high_value_users,high_value_churn_users,total_orders,total_gmv,avg_recency_days,avg_lifecycle_days,high_value_user_share
Dormant Customer,1,1,9,1172.66,154.0,162.0,0.25
Mature Customer,3,0,26,2591.32,33.666666666666664,305.6666666666667,0.75
