day_type_order,day_type,valid_order_count,order_share,unique_user_count,paid_order_count,gmv,gmv_share,average_order_value,calendar_day_count,average_daily_orders
1,Weekday,74288,0.76999938,72218,74287,11908319.16,0.77214127,160.301522,510,145.662745
2,Weekend,22190,0.23000062,21795,22190,3514142.61,0.22785873,158.366048,204,108.77451
