"category_name","sales_amount","category_cmgr","avg_category_cmgr","platform_cmgr","category_type"
health_beauty,1233131.72,0.12529532633411655,0.1217598636939588,0.1205928153252045,Stable Category
watches_gifts,1166176.98,0.1467906569389208,0.1217598636939588,0.1205928153252045,Stable Category
bed_bath_table,1023434.76,0.1592753823340438,0.1217598636939588,0.1205928153252045,Stable Category
sports_leisure,954852.55,0.10325425598576676,0.1217598636939588,0.1205928153252045,Stable Category
computers_accessories,888724.61,0.13933260382324852,0.1217598636939588,0.1205928153252045,Stable Category
furniture_decor,711927.69,0.07177006222894056,0.1217598636939588,0.1205928153252045,Stable Category
housewares,615628.69,0.18774891437530772,0.1217598636939588,0.1205928153252045,Star Category
cool_stuff,610204.1,0.06458221632646155,0.1217598636939588,0.1205928153252045,Stable Category
auto,578966.65,0.1299560348842137,0.1217598636939588,0.1205928153252045,Stable Category
toys,471286.48,0.07581358411940697,0.1217598636939588,0.1205928153252045,Stable Category
garden_tools,470495.28,0.07094003100851975,0.1217598636939588,0.1205928153252045,Stable Category
baby,400421.84,0.07227254558894347,0.1217598636939588,0.1205928153252045,Stable Category
perfumery,390144.65,0.08063098353919096,0.1217598636939588,0.1205928153252045,Stable Category
telephony,309860.23,0.21846554712574973,0.1217598636939588,0.1205928153252045,Star Category
office_furniture,268154.31,0.1448632509377219,0.1217598636939588,0.1205928153252045,Stable Category
stationery,223788.69,0.1426274889025243,0.1217598636939588,0.1205928153252045,Stable Category
computers,218684.14,0.09483932168390918,0.1217598636939588,0.1205928153252045,Stable Category
pet_shop,211695.64,0.1936721213372996,0.1217598636939588,0.1205928153252045,Star Category
musical_instruments,184315.74,0.19077496861203835,0.1217598636939588,0.1205928153252045,Star Category
small_appliances,182754.12,0.09248061071967495,0.1217598636939588,0.1205928153252045,Stable Category
unknown,175967.21,0.06778825084312756,0.1217598636939588,0.1205928153252045,Stable Category
electronics,155043.93,0.16246516801101696,0.1217598636939588,0.1205928153252045,Stable Category
fashion_bags_accessories,149329.39,0.07426927151817964,0.1217598636939588,0.1205928153252045,Stable Category
consoles_games,148003.37,0.03590918925918474,0.1217598636939588,0.1205928153252045,Stable Category
construction_tools_construction,142108.49,,0.1217598636939588,0.1205928153252045,Emerging Category
luggage_accessories,138701.63,0.14707388717793624,0.1217598636939588,0.1205928153252045,Stable Category
home_appliances_2,107953.95,0.11026872172824564,0.1217598636939588,0.1205928153252045,Stable Category
home_construction,81407.57,,0.1217598636939588,0.1205928153252045,Emerging Category
home_appliances,78832.48,,0.1217598636939588,0.1205928153252045,Emerging Category
agro_industry_and_commerce,70566.1,0.2923375979277729,0.1217598636939588,0.1205928153252045,Star Category
furniture_living_room,67350.7,0.09822141815410967,0.1217598636939588,0.1205928153252045,Stable Category
home_confort,58008.45,,0.1217598636939588,0.1205928153252045,Emerging Category
fixed_telephony,55315.21,0.15681077381066744,0.1217598636939588,0.1205928153252045,Stable Category
air_conditioning,53323.56,0.08012886285333165,0.1217598636939588,0.1205928153252045,Stable Category
audio,50570.6,,0.1217598636939588,0.1205928153252045,Emerging Category
small_appliances_home_oven_and_coffee,46589.56,,0.1217598636939588,0.1205928153252045,Emerging Category
kitchen_dining_laundry_garden_furniture,45531.98,0.21636097453423853,0.1217598636939588,0.1205928153252045,Potential Category
books_general_interest,45302.15,0.17182416837936731,0.1217598636939588,0.1205928153252045,Potential Category
construction_tools_lights,39957.0,,0.1217598636939588,0.1205928153252045,Emerging Category
construction_tools_safety,38773.22,,0.1217598636939588,0.1205928153252045,Emerging Category
industry_commerce_and_business,38498.81,,0.1217598636939588,0.1205928153252045,Emerging Category
food,28731.15,0.2746496302371748,0.1217598636939588,0.1205928153252045,Potential Category
market_place,27795.77,-0.04327316598865949,0.1217598636939588,0.1205928153252045,Declining Category
costruction_tools_garden,25096.28,,0.1217598636939588,0.1205928153252045,Emerging Category
art,23657.3,,0.1217598636939588,0.1205928153252045,Emerging Category
fashion_shoes,23001.46,0.1917128259033858,0.1217598636939588,0.1205928153252045,Potential Category
drinks,21529.84,,0.1217598636939588,0.1205928153252045,Emerging Category
signaling_and_security,21315.05,,0.1217598636939588,0.1205928153252045,Emerging Category
furniture_bedroom,19051.8,0.1775357870154315,0.1217598636939588,0.1205928153252045,Potential Category
books_technical,18702.23,,0.1217598636939588,0.1205928153252045,Emerging Category
costruction_tools_tools,15903.95,,0.1217598636939588,0.1205928153252045,Emerging Category
food_drink,14942.88,,0.1217598636939588,0.1205928153252045,Emerging Category
fashion_male_clothing,10452.33,0.02802429722529065,0.1217598636939588,0.1205928153252045,Stable Category
fashion_underwear_beach,9305.95,-0.01232033939182664,0.1217598636939588,0.1205928153252045,Declining Category
christmas_supplies,8737.84,,0.1217598636939588,0.1205928153252045,Emerging Category
tablets_printing_image,7528.41,,0.1217598636939588,0.1205928153252045,Declining Category
cine_photo,6674.47,,0.1217598636939588,0.1205928153252045,Emerging Category
music,6034.35,0.23222116186920028,0.1217598636939588,0.1205928153252045,Potential Category
dvds_blu_ray,4542.59,0.059255258670542155,0.1217598636939588,0.1205928153252045,Stable Category
party_supplies,4465.19,,0.1217598636939588,0.1205928153252045,Emerging Category
books_imported,4418.86,,0.1217598636939588,0.1205928153252045,Emerging Category
furniture_mattress_and_upholstery,4323.38,,0.1217598636939588,0.1205928153252045,Emerging Category
fashio_female_clothing,2634.94,,0.1217598636939588,0.1205928153252045,Declining Category
fashion_sport,2094.52,,0.1217598636939588,0.1205928153252045,Declining Category
la_cuisine,2054.99,,0.1217598636939588,0.1205928153252045,Declining Category
arts_and_craftmanship,1814.01,,0.1217598636939588,0.1205928153252045,Emerging Category
diapers_and_hygiene,1500.79,,0.1217598636939588,0.1205928153252045,Emerging Category
flowers,1110.04,,0.1217598636939588,0.1205928153252045,Emerging Category
home_comfort_2,760.27,-0.03449523509140606,0.1217598636939588,0.1205928153252045,Declining Category
cds_dvds_musicals,730.0,,0.1217598636939588,0.1205928153252045,Declining Category
fashion_childrens_clothes,519.95,,0.1217598636939588,0.1205928153252045,Declining Category
security_and_services,283.29,,0.1217598636939588,0.1205928153252045,Declining Category
