purchase_month,category_name,monthly_sales_amount,monthly_order_count,monthly_item_count,avg_item_price,items_per_order
2017-02,home_construction,695.6,3,4,173.9,1.333333
2017-02,housewares,11295.34,61,69,163.70058,1.131148
2017-02,industry_commerce_and_business,119.0,1,1,119.0,1.0
2017-02,kitchen_dining_laundry_garden_furniture,139.9,2,2,69.95,1.0
2017-02,luggage_accessories,1659.19,19,20,82.9595,1.052632
2017-02,market_place,1574.22,17,20,78.711,1.176471
2017-02,musical_instruments,2221.28,8,9,246.808889,1.125
2017-02,office_furniture,10845.98,52,62,174.935161,1.192308
2017-02,perfumery,8040.38,47,49,164.089388,1.042553
2017-02,pet_shop,3584.87,36,39,91.919744,1.083333
2017-02,small_appliances,7251.58,25,28,258.985,1.12
2017-02,sports_leisure,15629.98,134,149,104.899195,1.11194
2017-02,stationery,2341.4,19,19,123.231579,1.0
2017-02,tablets_printing_image,792.0,8,8,99.0,1.0
2017-02,telephony,6693.34,95,106,63.144717,1.115789
2017-02,toys,9353.44,61,66,141.718788,1.081967
2017-02,unknown,8521.11,50,56,152.162679,1.12
2017-02,watches_gifts,10992.39,32,33,333.102727,1.03125
2017-03,agro_industry_and_commerce,81.99,2,2,40.995,1.0
2017-03,air_conditioning,4103.81,16,17,241.400588,1.0625
2017-03,art,174.6,4,4,43.65,1.0
2017-03,audio,1134.77,13,14,81.055,1.076923
2017-03,auto,13272.93,67,78,170.165769,1.164179
2017-03,baby,3592.28,41,42,85.530476,1.02439
2017-03,bed_bath_table,25120.02,239,279,90.035914,1.167364
2017-03,books_general_interest,2533.96,19,24,105.581667,1.263158
2017-03,books_technical,75.0,2,2,37.5,1.0
2017-03,computers_accessories,28078.8,147,171,164.203509,1.163265
2017-03,consoles_games,9834.04,45,47,209.234894,1.044444
2017-03,construction_tools_construction,38.9,1,1,38.9,1.0
2017-03,cool_stuff,20583.33,116,118,174.435,1.017241
2017-03,drinks,463.87,4,5,92.774,1.25
2017-03,dvds_blu_ray,453.7,3,4,113.425,1.333333
2017-03,electronics,3986.0,32,37,107.72973,1.15625
2017-03,fashio_female_clothing,19.9,1,1,19.9,1.0
2017-03,fashion_bags_accessories,4786.36,60,66,72.520606,1.1
2017-03,fashion_male_clothing,580.8,7,9,64.533333,1.285714
2017-03,fashion_shoes,1515.0,13,14,108.214286,1.076923
2017-03,fashion_sport,39.9,1,1,39.9,1.0
2017-03,fashion_underwear_beach,394.14,6,6,65.69,1.0
2017-03,fixed_telephony,1333.45,14,20,66.6725,1.428571
2017-03,food,2412.66,19,21,114.888571,1.105263
2017-03,food_drink,85.8,4,4,21.45,1.0
2017-03,furniture_decor,22133.47,253,315,70.264984,1.245059
2017-03,furniture_living_room,3324.0,17,24,138.5,1.411765
2017-03,garden_tools,23508.76,117,146,161.018904,1.247863
2017-03,health_beauty,25652.45,190,208,123.329087,1.094737
2017-03,home_appliances,313.3,9,10,31.33,1.111111
2017-03,home_appliances_2,500.9,2,2,250.45,1.0
2017-03,home_comfort_2,342.88,3,3,114.293333,1.0
2017-03,home_confort,2123.4,12,13,163.338462,1.083333
2017-03,home_construction,591.96,5,10,59.196,2.0
2017-03,housewares,12906.96,170,196,65.851837,1.152941
2017-03,industry_commerce_and_business,238.0,2,2,119.0,1.0
2017-03,kitchen_dining_laundry_garden_furniture,113.98,3,3,37.993333,1.0
2017-03,luggage_accessories,5924.01,35,38,155.895,1.085714
2017-03,market_place,1808.59,17,17,106.387647,1.0
2017-03,music,27.99,1,1,27.99,1.0
2017-03,musical_instruments,1667.33,9,10,166.733,1.111111
2017-03,office_furniture,10793.85,58,74,145.862838,1.275862
2017-03,perfumery,19608.14,103,105,186.74419,1.019417
2017-03,pet_shop,8240.06,40,44,187.274091,1.1
2017-03,signaling_and_security,75.0,1,1,75.0,1.0
2017-03,small_appliances,11171.06,31,31,360.356774,1.0
2017-03,sports_leisure,25472.89,164,190,134.067842,1.158537
2017-03,stationery,5902.62,56,56,105.403929,1.0
2017-03,tablets_printing_image,495.0,5,5,99.0,1.0
2017-03,telephony,7877.12,153,165,47.740121,1.078431
2017-03,toys,12339.57,99,102,120.976176,1.030303
2017-03,unknown,6457.17,54,60,107.6195,1.111111
2017-03,watches_gifts,24892.38,74,79,315.093418,1.067568
2017-04,air_conditioning,2492.23,13,15,166.148667,1.153846
2017-04,art,119.9,1,1,119.9,1.0
2017-04,audio,942.2,9,11,85.654545,1.222222
2017-04,auto,15149.32,77,84,180.349048,1.090909
2017-04,baby,3930.55,47,50,78.611,1.06383
2017-04,bed_bath_table,24092.89,231,271,88.903653,1.17316
2017-04,books_general_interest,923.38,12,12,76.948333,1.0
2017-04,books_imported,19.99,1,1,19.99,1.0
2017-04,books_technical,75.0,1,1,75.0,1.0
2017-04,christmas_supplies,69.0,1,1,69.0,1.0
2017-04,cine_photo,118.0,2,2,59.0,1.0
2017-04,computers_accessories,18353.46,116,132,139.041364,1.137931
2017-04,consoles_games,3772.88,15,17,221.934118,1.133333
2017-04,cool_stuff,20902.39,112,114,183.354298,1.017857
2017-04,costruction_tools_garden,1490.21,7,8,186.27625,1.142857
2017-04,costruction_tools_tools,729.0,1,1,729.0,1.0
2017-04,dvds_blu_ray,1434.9,2,2,717.45,1.0
2017-04,electronics,4822.24,47,48,100.463333,1.021277
2017-04,fashio_female_clothing,64.9,1,1,64.9,1.0
2017-04,fashion_bags_accessories,3095.9,44,48,64.497917,1.090909
2017-04,fashion_male_clothing,366.89,5,5,73.378,1.0
2017-04,fashion_shoes,1526.5,20,23,66.369565,1.15
2017-04,fashion_sport,189.78,4,4,47.445,1.0
2017-04,fashion_underwear_beach,92.89,3,3,30.963333,1.0
2017-04,fixed_telephony,505.83,6,6,84.305,1.0
2017-04,food,491.3,8,8,61.4125,1.0
2017-04,food_drink,47.9,2,3,15.966667,1.5
2017-04,furniture_bedroom,628.98,3,3,209.66,1.0
2017-04,furniture_decor,19211.23,162,191,100.582356,1.179012
2017-04,furniture_living_room,2073.34,11,12,172.778333,1.090909
2017-04,furniture_mattress_and_upholstery,109.4,1,1,109.4,1.0
2017-04,garden_tools,17648.93,93,108,163.416019,1.16129
2017-04,health_beauty,22156.34,168,180,123.090778,1.071429
2017-04,home_appliances,499.4,9,10,49.94,1.111111
2017-04,home_appliances_2,799.8,2,2,399.9,1.0
2017-04,home_comfort_2,12.9,1,1,12.9,1.0
2017-04,home_confort,2411.1,16,17,141.829412,1.0625
2017-04,home_construction,1602.69,5,5,320.538,1.0
2017-04,housewares,12472.18,134,169,73.799882,1.261194
2017-04,kitchen_dining_laundry_garden_furniture,1033.4,8,9,114.822222,1.125
2017-04,la_cuisine,24.0,1,1,24.0,1.0
2017-04,luggage_accessories,7090.3,46,48,147.714583,1.043478
2017-04,market_place,4045.28,19,19,212.909474,1.0
2017-04,music,59.8,2,2,29.9,1.0
2017-04,musical_instruments,3818.43,16,16,238.651875,1.0
2017-04,office_furniture,9411.3,48,58,162.263793,1.208333
2017-04,perfumery,19436.51,97,101,192.440693,1.041237
2017-04,pet_shop,6182.89,46,51,121.233137,1.108696
2017-04,signaling_and_security,128.06,3,3,42.686667,1.0
2017-04,small_appliances,23114.98,20,20,1155.749,1.0
2017-04,sports_leisure,22997.06,184,203,113.28601,1.103261
2017-04,stationery,4551.44,35,35,130.041143,1.0
2017-04,tablets_printing_image,1112.88,9,11,101.170909,1.222222
2017-04,telephony,7133.94,138,142,50.239014,1.028986
2017-04,toys,13039.43,103,113,115.393186,1.097087
2017-04,unknown,8708.17,63,71,122.650282,1.126984
2017-04,watches_gifts,23336.09,88,95,245.643053,1.079545
2017-05,agro_industry_and_commerce,1579.94,4,4,394.985,1.0
2017-05,air_conditioning,914.87,6,7,130.695714,1.166667
2017-05,art,6927.25,6,6,1154.541667,1.0
2017-05,arts_and_craftmanship,21.99,1,1,21.99,1.0
2017-05,audio,2081.18,17,17,122.422353,1.0
2017-05,auto,17501.25,99,113,154.878319,1.141414
2017-05,baby,8933.72,96,102,87.58549,1.0625
2017-05,bed_bath_table,32684.6,323,361,90.539058,1.117647
2017-05,books_general_interest,1841.57,19,20,92.0785,1.052632
2017-05,books_technical,262.0,3,3,87.333333,1.0
2017-05,cine_photo,59.0,1,1,59.0,1.0
2017-05,computers_accessories,44759.39,253,309,144.852395,1.221344
2017-05,consoles_games,2507.2,26,29,86.455172,1.115385
2017-05,construction_tools_construction,99.99,1,1,99.99,1.0
2017-05,cool_stuff,32481.6,230,241,134.778423,1.047826
2017-05,costruction_tools_garden,1447.34,5,7,206.762857,1.4
2017-05,costruction_tools_tools,803.9,2,2,401.95,1.0
2017-05,drinks,90.0,1,1,90.0,1.0
2017-05,dvds_blu_ray,89.6,4,4,22.4,1.0
2017-05,electronics,6149.11,59,65,94.601692,1.101695
2017-05,fashio_female_clothing,367.5,4,4,91.875,1.0
2017-05,fashion_bags_accessories,7192.0,91,104,69.153846,1.142857
2017-05,fashion_childrens_clothes,110.0,1,1,110.0,1.0
2017-05,fashion_male_clothing,608.9,3,4,152.225,1.333333
2017-05,fashion_shoes,1669.54,22,22,75.888182,1.0
2017-05,fashion_sport,124.84,3,3,41.613333,1.0
2017-05,fashion_underwear_beach,283.5,6,7,40.5,1.166667
2017-05,fixed_telephony,445.83,9,9,49.536667,1.0
2017-05,food,387.9,3,3,129.3,1.0
2017-05,food_drink,345.49,10,12,28.790833,1.2
2017-05,furniture_bedroom,2369.97,6,9,263.33,1.5
2017-05,furniture_decor,22312.54,226,271,82.334096,1.199115
2017-05,furniture_living_room,4479.45,27,32,139.982812,1.185185
2017-05,furniture_mattress_and_upholstery,595.89,3,3,198.63,1.0
2017-05,garden_tools,20372.57,121,138,147.627319,1.140496
2017-05,health_beauty,46340.06,261,284,163.169225,1.088123
2017-05,home_appliances,1912.79,28,28,68.313929,1.0
2017-05,home_appliances_2,1306.05,7,7,186.578571,1.0
2017-05,home_confort,5114.07,32,35,146.116286,1.09375
2017-05,home_construction,1620.5,5,7,231.5,1.4
2017-05,housewares,21374.9,259,302,70.777815,1.166023
2017-05,industry_commerce_and_business,519.8,2,2,259.9,1.0
2017-05,kitchen_dining_laundry_garden_furniture,1304.48,9,9,144.942222,1.0
2017-05,la_cuisine,193.0,1,1,193.0,1.0
2017-05,luggage_accessories,12539.62,64,70,179.137429,1.09375
2017-05,market_place,2476.98,21,22,112.59,1.047619
2017-05,musical_instruments,9639.44,18,20,481.972,1.111111
2017-05,office_furniture,8403.43,42,56,150.06125,1.333333
2017-05,perfumery,19982.06,132,143,139.734685,1.083333
2017-05,pet_shop,8151.02,66,73,111.657808,1.106061
2017-05,signaling_and_security,508.85,3,4,127.2125,1.333333
2017-05,small_appliances,5241.44,16,18,291.191111,1.125
2017-05,sports_leisure,34101.73,256,305,111.808951,1.191406
2017-05,stationery,5600.18,60,64,87.502812,1.066667
2017-05,tablets_printing_image,1514.98,7,7,216.425714,1.0
2017-05,telephony,8844.39,196,214,41.328925,1.091837
2017-05,toys,22179.25,192,196,113.159439,1.020833
2017-05,unknown,10948.33,83,92,119.003587,1.108434
2017-05,watches_gifts,36619.48,120,129,283.871938,1.075
2017-06,agro_industry_and_commerce,1390.0,1,1,1390.0,1.0
2017-06,air_conditioning,2084.48,9,11,189.498182,1.222222
2017-06,art,200.3,4,4,50.075,1.0
2017-06,audio,1671.0,11,11,151.909091,1.0
2017-06,auto,29335.71,101,110,266.688273,1.089109
2017-06,baby,7864.74,72,78,100.83,1.083333
2017-06,bed_bath_table,33803.23,324,369,91.607669,1.138889
2017-06,books_general_interest,1922.18,19,20,96.109,1.052632
2017-06,books_imported,99.0,1,2,49.5,2.0
2017-06,books_technical,145.9,2,2,72.95,1.0
2017-06,christmas_supplies,184.7,2,3,61.566667,1.5
2017-06,cine_photo,79.0,1,1,79.0,1.0
2017-06,computers_accessories,36193.7,212,254,142.494882,1.198113
2017-06,consoles_games,5309.03,26,29,183.07,1.115385
2017-06,construction_tools_construction,376.37,4,8,47.04625,2.0
2017-06,cool_stuff,38109.61,195,199,191.505578,1.020513
2017-06,costruction_tools_garden,434.69,3,4,108.6725,1.333333
2017-06,drinks,49.99,1,1,49.99,1.0
2017-06,dvds_blu_ray,126.69,4,4,31.6725,1.0
2017-06,electronics,2060.04,39,41,50.244878,1.051282
2017-06,fashio_female_clothing,154.8,3,3,51.6,1.0
2017-06,fashion_bags_accessories,6722.13,75,81,82.989259,1.08
2017-06,fashion_childrens_clothes,110.0,1,1,110.0,1.0
2017-06,fashion_male_clothing,519.79,7,9,57.754444,1.285714
2017-06,fashion_shoes,1279.38,16,19,67.335789,1.1875
2017-06,fashion_sport,470.5,5,5,94.1,1.0
2017-06,fashion_underwear_beach,3.9,1,1,3.9,1.0
2017-06,fixed_telephony,933.67,12,12,77.805833,1.0
2017-06,food,149.9,1,1,149.9,1.0
2017-06,food_drink,57.4,2,2,28.7,1.0
2017-06,furniture_bedroom,308.99,2,2,154.495,1.0
2017-06,furniture_decor,16614.29,177,230,72.236043,1.299435
2017-06,furniture_living_room,1713.3,12,15,114.22,1.25
2017-06,garden_tools,15447.09,98,110,140.428091,1.122449
2017-06,health_beauty,31676.81,233,254,124.71185,1.090129
2017-06,home_appliances,2507.19,42,43,58.306744,1.02381
2017-06,home_appliances_2,1213.87,6,6,202.311667,1.0
2017-06,home_comfort_2,12.9,1,1,12.9,1.0
2017-06,home_confort,2818.2,17,17,165.776471,1.0
2017-06,home_construction,1992.3,4,8,249.0375,2.0
2017-06,housewares,22978.21,280,321,71.583209,1.146429
2017-06,industry_commerce_and_business,276.97,2,2,138.485,1.0
2017-06,kitchen_dining_laundry_garden_furniture,374.8,4,4,93.7,1.0
2017-06,luggage_accessories,8142.19,59,60,135.703167,1.016949
2017-06,market_place,1258.95,15,16,78.684375,1.066667
2017-06,music,1066.9,4,4,266.725,1.0
2017-06,musical_instruments,4993.05,17,20,249.6525,1.176471
2017-06,office_furniture,7279.13,45,50,145.5826,1.111111
2017-06,perfumery,23954.32,140,148,161.853514,1.057143
2017-06,pet_shop,5123.57,60,63,81.326508,1.05
2017-06,signaling_and_security,134.0,1,1,134.0,1.0
2017-06,small_appliances,9698.81,23,23,421.687391,1.0
2017-06,small_appliances_home_oven_and_coffee,71.9,1,1,71.9,1.0
2017-06,sports_leisure,32066.93,245,269,119.207918,1.097959
2017-06,stationery,3493.57,37,38,91.936053,1.027027
2017-06,tablets_printing_image,594.0,6,6,99.0,1.0
2017-06,telephony,6561.73,148,157,41.794459,1.060811
2017-06,toys,15337.55,150,156,98.317628,1.04
2017-06,unknown,5032.39,51,59,85.294746,1.156863
2017-06,watches_gifts,27337.63,113,119,229.727983,1.053097
2017-07,agro_industry_and_commerce,1180.0,1,1,1180.0,1.0
2017-07,air_conditioning,1396.1,5,5,279.22,1.0
2017-07,art,386.75,3,3,128.916667,1.0
2017-07,arts_and_craftmanship,129.9,1,1,129.9,1.0
2017-07,audio,673.69,6,6,112.281667,1.0
2017-07,auto,13886.85,103,114,121.814474,1.106796
2017-07,baby,15461.41,121,125,123.69128,1.033058
2017-07,bed_bath_table,62786.96,503,569,110.346151,1.131213
2017-07,books_general_interest,1292.4,12,13,99.415385,1.083333
2017-07,books_technical,528.0,2,2,264.0,1.0
2017-07,cds_dvds_musicals,225.0,4,5,45.0,1.25
2017-07,christmas_supplies,65.09,2,2,32.545,1.0
2017-07,computers_accessories,38176.22,268,320,119.300688,1.19403
2017-07,consoles_games,5411.24,45,47,115.132766,1.044444
2017-07,construction_tools_construction,549.44,5,6,91.573333,1.2
2017-07,construction_tools_lights,360.0,1,1,360.0,1.0
2017-07,cool_stuff,36653.46,220,228,160.760789,1.036364
2017-07,costruction_tools_garden,347.58,7,8,43.4475,1.142857
2017-07,drinks,273.97,2,3,91.323333,1.5
2017-07,dvds_blu_ray,732.8,3,3,244.266667,1.0
2017-07,electronics,7266.04,84,94,77.298298,1.119048
2017-07,fashio_female_clothing,310.7,4,4,77.675,1.0
2017-07,fashion_bags_accessories,5063.21,80,86,58.874535,1.075
2017-07,fashion_male_clothing,719.99,8,9,79.998889,1.125
2017-07,fashion_shoes,1283.02,18,19,67.527368,1.055556
2017-07,fashion_sport,69.9,1,1,69.9,1.0
2017-07,fashion_underwear_beach,274.8,3,3,91.6,1.0
2017-07,fixed_telephony,218.73,8,9,24.303333,1.125
2017-07,food,584.16,7,7,83.451429,1.0
2017-07,food_drink,168.2,7,8,21.025,1.142857
2017-07,furniture_bedroom,1077.99,4,4,269.4975,1.0
2017-07,furniture_decor,24028.12,249,314,76.522675,1.261044
2017-07,furniture_living_room,3826.12,26,30,127.537333,1.153846
2017-07,furniture_mattress_and_upholstery,109.4,1,1,109.4,1.0
2017-07,garden_tools,18951.3,153,184,102.996196,1.202614
2017-07,health_beauty,34239.45,270,308,111.167045,1.140741
2017-07,home_appliances,3671.99,37,37,99.242973,1.0
2017-07,home_appliances_2,1033.99,7,7,147.712857,1.0
2017-07,home_comfort_2,12.9,1,1,12.9,1.0
2017-07,home_confort,4563.85,36,43,106.136047,1.194444
2017-07,home_construction,93.6,1,2,46.8,2.0
2017-07,housewares,20251.53,220,271,74.728893,1.231818
2017-07,industry_commerce_and_business,245.96,2,2,122.98,1.0
2017-07,kitchen_dining_laundry_garden_furniture,1316.5,9,11,119.681818,1.222222
2017-07,la_cuisine,469.99,4,4,117.4975,1.0
2017-07,luggage_accessories,8311.71,72,73,113.859041,1.013889
2017-07,market_place,1573.38,13,13,121.029231,1.0
2017-07,music,329.0,1,1,329.0,1.0
2017-07,musical_instruments,7282.59,26,30,242.753,1.153846
2017-07,office_furniture,16892.61,97,115,146.892261,1.185567
2017-07,party_supplies,69.9,1,1,69.9,1.0
2017-07,perfumery,12734.25,115,121,105.241736,1.052174
2017-07,pet_shop,6575.97,70,85,77.364353,1.214286
2017-07,signaling_and_security,475.91,4,5,95.182,1.25
2017-07,small_appliances,3587.23,30,31,115.717097,1.033333
2017-07,sports_leisure,36618.83,327,375,97.650213,1.146789
2017-07,stationery,6906.85,72,77,89.699351,1.069444
2017-07,tablets_printing_image,198.0,2,2,99.0,1.0
2017-07,telephony,9052.87,135,143,63.306783,1.059259
2017-07,toys,23956.84,197,203,118.01399,1.030457
2017-07,unknown,2967.86,52,58,51.17,1.115385
2017-07,watches_gifts,33702.42,151,162,208.03963,1.072848
2017-08,agro_industry_and_commerce,88.0,1,4,22.0,4.0
