"purchase_month","category_name","monthly_sales_amount","sales_mom_growth","monthly_order_count","order_mom_growth","monthly_item_count","item_mom_growth"
"2017-02",housewares,11295.34,2.994702183492598,61,1.9047619047619047,69,1.4642857142857142
"2017-02",industry_commerce_and_business,119.0,,1,,1,
"2017-02",kitchen_dining_laundry_garden_furniture,139.9,0.27181818181818185,2,1.0,2,1.0
"2017-02",luggage_accessories,1659.19,2.3689137055837564,19,3.75,20,3.0
"2017-02",market_place,1574.22,2.8011783454870334,17,2.4,20,3.0
"2017-02",musical_instruments,2221.28,5.538176252428328,8,7.0,9,8.0
"2017-02",office_furniture,10845.98,8.363301247464065,52,7.666666666666667,62,6.75
"2017-02",perfumery,8040.38,0.5726597034776825,47,0.6206896551724138,49,0.4411764705882353
"2017-02",pet_shop,3584.87,3.4860221243367704,36,2.0,39,1.7857142857142858
"2017-02",small_appliances,7251.58,3.3663437279848747,25,3.1666666666666665,28,3.6666666666666665
"2017-02",sports_leisure,15629.98,0.6966720002084207,134,1.3508771929824561,149,1.0135135135135136
"2017-02",stationery,2341.4,0.49898526879173366,19,1.7142857142857142,19,0.35714285714285715
"2017-02",tablets_printing_image,792.0,,8,,8,
"2017-02",telephony,6693.34,7.854327062994416,95,4.588235294117647,106,3.8181818181818183
"2017-02",toys,9353.44,1.0475155367880935,61,0.4878048780487805,66,0.6097560975609756
"2017-02",unknown,8521.11,4.31360529794717,50,4.0,56,3.6666666666666665
"2017-02",watches_gifts,10992.39,0.35934740778480717,32,1.9090909090909092,33,2.0
"2017-03",agro_industry_and_commerce,81.99,-0.6353406867105498,2,-0.7142857142857143,2,-0.7142857142857143
"2017-03",air_conditioning,4103.81,0.7061530786180519,16,0.45454545454545453,17,0.5454545454545454
"2017-03",art,174.6,,4,,4,
"2017-03",audio,1134.77,5.927777777777777,13,1.6,14,1.8
"2017-03",auto,13272.93,0.07396765700174286,67,-0.10666666666666667,78,-0.060240963855421686
"2017-03",baby,3592.28,0.26596606967909286,41,0.3225806451612903,42,0.3125
"2017-03",bed_bath_table,25120.02,0.6131396282974777,239,0.7071428571428572,279,0.7770700636942676
"2017-03",books_general_interest,2533.96,2.2793156552911182,19,1.375,24,2.0
"2017-03",books_technical,75.0,-0.5283018867924528,2,1.0,2,1.0
"2017-03",computers_accessories,28078.8,1.4806587808737275,147,0.5978260869565217,171,0.71
"2017-03",consoles_games,9834.04,1.2897710471107882,45,1.5,47,1.6111111111111112
"2017-03",construction_tools_construction,38.9,-0.8844977582469788,1,-0.6666666666666666,1,-0.6666666666666666
"2017-03",cool_stuff,20583.33,0.6526688934209048,116,0.7058823529411765,118,0.7101449275362319
"2017-03",drinks,463.87,,4,,5,
